"Port_Code","Port","Int_Code","Intl_Geography","Group_ID","I_Mode","Value_2010","Weight"
"42660","Seattle-Tacoma-Bellevue","356","India","05",3,92.84,177.94
"42660","Seattle-Tacoma-Bellevue","356","India","05",4,0.08,0.02
"42660","Seattle-Tacoma-Bellevue","356","India","06",3,82.53,12.70
"42660","Seattle-Tacoma-Bellevue","356","India","06",4,4.24,0.23
"42660","Seattle-Tacoma-Bellevue","356","India","06",5,0.22,0.01
"42660","Seattle-Tacoma-Bellevue","356","India","07",3,19.64,25.43
"42660","Seattle-Tacoma-Bellevue","356","India","07",4,0.12,0.01
"42660","Seattle-Tacoma-Bellevue","356","India","07",5,0.01,5.2412499495e-03
"42660","Seattle-Tacoma-Bellevue","356","India","08",3,36.84,5.80
"42660","Seattle-Tacoma-Bellevue","356","India","08",4,7.57,0.06
"42660","Seattle-Tacoma-Bellevue","356","India","08",5,0.08,1.335541743424e-03
"42660","Seattle-Tacoma-Bellevue","356","India","09",3,43.50,5.14
"42660","Seattle-Tacoma-Bellevue","356","India","09",4,11.39,0.06
"42660","Seattle-Tacoma-Bellevue","356","India","09",5,0.29,5.07304268871841e-04
"42660","Seattle-Tacoma-Bellevue","356","India","10",3,14.08,2.45
"42660","Seattle-Tacoma-Bellevue","356","India","10",4,5.01,0.01
"42660","Seattle-Tacoma-Bellevue","356","India","10",5,1439.85,3.10
"42660","Seattle-Tacoma-Bellevue","356","India","11",3,7.60,0.70
"42660","Seattle-Tacoma-Bellevue","356","India","11",4,12.14,0.03
"42660","Seattle-Tacoma-Bellevue","356","India","12",3,42.84,38.24
"42660","Seattle-Tacoma-Bellevue","356","India","12",4,0.04,2.34292044e-03
"42660","Seattle-Tacoma-Bellevue","356","India","12",5,2.11111112800001e-03,7.2796935448276e-05
"42660","Seattle-Tacoma-Bellevue","356","India","13",3,14.24,239.75
"42660","Seattle-Tacoma-Bellevue","356","India","13",4,0.01,4.96105228638368e-05
"42660","Seattle-Tacoma-Bellevue","356","India","16",4,0.20,9.41891851999998e-04
"42660","Seattle-Tacoma-Bellevue","356","India","17",3,41.16,13.58
"42660","Seattle-Tacoma-Bellevue","356","India","17",4,2.40,0.02
"42660","Seattle-Tacoma-Bellevue","356","India","17",5,0.11,3.90263740484752e-03
"42660","Seattle-Tacoma-Bellevue","392","Japan","01",3,2348.99,7097.47
"42660","Seattle-Tacoma-Bellevue","392","Japan","01",4,22.56,3.38
"42660","Seattle-Tacoma-Bellevue","392","Japan","01",5,0.85,0.09
"42660","Seattle-Tacoma-Bellevue","392","Japan","02",3,7.89,8.61
"42660","Seattle-Tacoma-Bellevue","392","Japan","02",4,0.73,0.06
"42660","Seattle-Tacoma-Bellevue","392","Japan","03",3,129.27,99.33
"42660","Seattle-Tacoma-Bellevue","392","Japan","03",4,0.26,0.17
"42660","Seattle-Tacoma-Bellevue","392","Japan","04",3,1734.92,240.85
